iteration,max_value,screened_compositions
1,1.6287012100607678,"['Cu-0.05-Ag-0.58-Au-0.37', 'Cu-0.20-Ag-0.08-In-0.72', 'Cu-0.22-Ag-0.69-Sn-0.09', 'Cu-0.20-Ag-0.45-Cd-0.35', 'Cu-0.10-Ag-0.50-In-0.40', 'Cu-0.32-Ag-0.28-In-0.40']"
2,1.6287012100607678,"['Cu-0.66-Pd-0.02-In-0.32', 'Cu-0.66-Pd-0.01-In-0.33', 'Cu-0.85-Pd-0.03-In-0.12', 'Cu-0.53-Pd-0.01-Sn-0.46', 'Cu-0.68-Pd-0.01-In-0.31', 'Cu-0.77-Pd-0.04-In-0.19']"
3,1.8484533518090402,"['Cu-0.98-Ag-0.02', 'Cu-0.99-Ag-0.01', 'Cu-0.95-Ag-0.05', 'Cu-0.97-Ag-0.03', 'Cu-0.93-Ag-0.07', 'Cu-0.94-Ag-0.06']"
4,1.8484533518090402,"['Pd-0.98-Ag-0.02', 'Pd-0.95-Ag-0.02-In-0.03', 'Pd-0.96-Ag-0.02-In-0.02', 'Pd-0.95-Ag-0.02-Pb-0.03', 'Pd-0.96-Ag-0.02-Pb-0.02', 'Pd-0.95-Ag-0.02-Au-0.03']"
5,1.8484533518090402,"['Cu-0.96-Ru-0.04', 'Cu-0.97-Ru-0.03', 'Cu-0.96-Ru-0.03-Sn-0.01', 'Cu-0.97-Ru-0.02-Sn-0.01', 'Cu-0.95-Ru-0.05', 'Cu-0.98-Ag-0.01-Sn-0.01']"
6,1.8484533518090402,"['Cu-0.97-Ag-0.02-Pb-0.01', 'Cu-0.97-Ag-0.02-Au-0.01', 'Cu-0.98-Ag-0.01-Pb-0.01', 'Zn-0.98-Ag-0.02', 'Zn-0.99-Ag-0.01', 'Cu-0.98-Ag-0.01-Au-0.01']"
7,1.8484533518090402,"['Cu-0.99-Pb-0.01', 'Cu-0.98-Pb-0.02', 'Cu-0.65-Ag-0.35', 'Cu-0.53-Ag-0.47', 'Cu-0.61-Ag-0.39', 'Cu-0.60-Ag-0.40']"
8,2.8384155354837177,"['Cu-0.98-Pd-0.02', 'Cu-0.99-Pd-0.01', 'Cu-0.98-Pd-0.01-Sn-0.01', 'Cu-0.98-Pd-0.01-Ag-0.01', 'Cu-0.98-Pd-0.01-Au-0.01', 'Cu-0.97-Pd-0.03']"
9,2.8384155354837177,"['Cu-0.49-Pd-0.51', 'Cu-0.41-Pd-0.59', 'Cu-0.38-Pd-0.62', 'Cu-0.43-Pd-0.57', 'Cu-0.36-Pd-0.64', 'Cu-0.32-Pd-0.68']"
10,2.8384155354837177,"['Cu-0.98-Sn-0.01-Au-0.01', 'Cu-0.98-Sn-0.02', 'Cu-0.99-Sn-0.01', 'Cu-0.97-Ag-0.01-Cd-0.02', 'Cu-0.97-Ag-0.01-Au-0.02', 'Cu-0.98-Zn-0.01-Ag-0.01']"
11,2.8384155354837177,"['Cu-0.95-Pb-0.05', 'Cu-0.97-Pd-0.02-Ag-0.01', 'Cu-0.96-Pb-0.04', 'Cu-0.97-Pb-0.03', 'Cu-0.95-Pd-0.04-Ag-0.01', 'Cu-0.97-Pd-0.02-Au-0.01']"
12,2.8384155354837177,"['Cu-0.97-Au-0.03', 'Cu-0.98-Au-0.02', 'Cu-0.97-Pd-0.01-Ag-0.02', 'Cu-0.97-Zn-0.01-Ag-0.02', 'Cu-0.95-Ag-0.01-Pb-0.04', 'Cu-0.97-Zn-0.01-Au-0.02']"
13,2.8384155354837177,"['Cu-0.97-Cd-0.01-Au-0.02', 'Cu-0.98-Cd-0.02', 'Cu-0.98-Cd-0.01-Au-0.01', 'Cu-0.97-Cd-0.01-Sn-0.02', 'Cu-0.95-Ag-0.01-Au-0.04', 'Cu-0.98-Cd-0.01-Sn-0.01']"
14,2.8384155354837177,"['Cu-0.97-In-0.02-Sn-0.01', 'Cu-0.51-Ag-0.49', 'Cu-0.52-Ag-0.48', 'Cu-0.52-Ag-0.47-Sn-0.01', 'Cu-0.50-Ag-0.49-Sn-0.01', 'Cu-0.51-Ag-0.48-Sn-0.01']"
15,3.0044538958460127,"['Cu-0.97-In-0.03', 'Cu-0.99-In-0.01', 'Cu-0.96-In-0.04', 'Cu-0.98-In-0.02', 'Cu-0.97-Cd-0.03', 'Cu-0.95-Au-0.05']"
16,3.0044538958460127,"['Cu-0.97-Ru-0.02-Ag-0.01', 'Cu-0.98-Ru-0.01-Ag-0.01', 'Cu-0.97-Ru-0.01-Ag-0.02', 'Cu-0.95-In-0.04-Au-0.01', 'Cu-0.96-Ru-0.03-Ag-0.01', 'Cu-0.99-Ru-0.01']"
