iteration,max_value,screened_compositions
1,1.6287012100607678,"['Cu-0.02-Pd-0.09-Au-0.89', 'Cu-0.89-Pd-0.05-Pb-0.06', 'Cu-0.40-Pd-0.50-Ag-0.10', 'Cu-0.09-Pd-0.59-Sn-0.32', 'Cu-0.26-Pd-0.62-Sn-0.12', 'Cu-0.13-Pd-0.47-In-0.40']"
2,1.6287012100607678,"['Cu-0.76-Pd-0.24', 'Cu-0.53-Pd-0.47', 'Cu-0.82-Pd-0.18', 'Cu-0.66-Pd-0.34', 'Cu-0.57-Pd-0.43', 'Cu-0.67-Pd-0.33']"
3,1.6287012100607678,"['Cu-0.51-Ag-0.16-Pb-0.33', 'Cu-0.50-Ag-0.17-Pb-0.33', 'Cu-0.51-Ag-0.15-Pb-0.34', 'Cu-0.52-Ag-0.11-Pb-0.37', 'Cu-0.52-Ag-0.10-Pb-0.38', 'Cu-0.51-Ag-0.13-Pb-0.36']"
4,1.6287012100607678,"['Cu-0.03-Sn-0.97', 'Cu-0.47-Sn-0.53', 'Cu-0.07-Sn-0.93', 'Cu-0.21-Sn-0.79', 'Cu-0.39-Sn-0.61', 'Cu-0.22-Sn-0.78']"
5,1.6287012100607678,"['Cu-0.50-Pd-0.03-Ag-0.47', 'Cu-0.50-Pd-0.06-Ag-0.44', 'Cu-0.50-Pd-0.02-Ag-0.48', 'Cu-0.50-Pd-0.07-Ag-0.43', 'Cu-0.50-Pd-0.08-Ag-0.42', 'Cu-0.50-Pd-0.05-Ag-0.45']"
6,1.6287012100607678,"['Co-0.49-Pd-0.07-Ag-0.44', 'Co-0.50-Pd-0.06-Ag-0.44', 'Co-0.50-Pd-0.07-Ag-0.43', 'Co-0.47-Pd-0.07-Ag-0.46', 'Co-0.48-Pd-0.06-Ag-0.46', 'Co-0.49-Pd-0.06-Ag-0.45']"
7,1.6287012100607678,"['Cu-0.50-Ru-0.01-Ag-0.49', 'Cu-0.50-Ru-0.02-Ag-0.48', 'Cu-0.50-Ru-0.03-Ag-0.47', 'Cu-0.50-Ru-0.04-Ag-0.46', 'Cu-0.50-Ru-0.05-Ag-0.45', 'Cu-0.50-Ru-0.06-Ag-0.44']"
8,1.6287012100607678,"['Cu-0.65-Pd-0.06-Ag-0.29', 'Cu-0.63-Pd-0.09-Ag-0.28', 'Cu-0.61-Pd-0.09-Ag-0.30', 'Cu-0.63-Pd-0.08-Ag-0.29', 'Cu-0.65-Pd-0.05-Ag-0.30', 'Cu-0.64-Pd-0.06-Ag-0.30']"
9,1.8484533518090402,"['Cu-0.96-Ag-0.04', 'Cu-0.97-Ag-0.03', 'Cu-0.98-Ag-0.02', 'Cu-0.99-Ag-0.01', 'Cu-0.96-Ag-0.03-Sn-0.01', 'Cu-0.94-Ag-0.04-Sn-0.02']"
10,1.8484533518090402,"['Cu-0.97-Pb-0.03', 'Cu-0.98-Pb-0.02', 'Cu-0.99-Pb-0.01', 'Cu-0.96-Pb-0.04', 'Cu-0.96-Zn-0.03-Ag-0.01', 'Cu-0.96-In-0.03-Sn-0.01']"
11,1.8484533518090402,"['Cu-0.98-Sn-0.02', 'Cu-0.99-Sn-0.01', 'Cu-0.97-Sn-0.03', 'Cu-0.96-Sn-0.04', 'Cu-0.98-Cd-0.02', 'Cu-0.99-Cd-0.01']"
12,3.0044538958460127,"['Cu-0.97-In-0.03', 'Cu-0.98-In-0.02', 'Cu-0.99-In-0.01', 'Cu-0.96-In-0.04', 'Pd-0.97-In-0.03', 'Cu-0.98-Pd-0.01-Pb-0.01']"
13,3.0044538958460127,"['Cu-0.98-In-0.01-Pb-0.01', 'Cu-0.98-In-0.01-Au-0.01', 'Cu-0.97-In-0.02-Pb-0.01', 'Cu-0.96-Cd-0.04', 'Cu-0.97-In-0.02-Au-0.01', 'Cu-0.98-Ag-0.01-Au-0.01']"
14,3.0044538958460127,"['Pd-0.99-Au-0.01', 'Pd-0.98-Au-0.02', 'Pd-0.97-Au-0.03', 'Pd-0.98-Au-0.01-Pb-0.01', 'Pd-0.97-Au-0.01-Pb-0.02', 'Pd-0.99-In-0.01']"
15,3.0044538958460127,"['Cu-0.47-Pd-0.50-Ag-0.03', 'Cu-0.47-Pd-0.51-Ag-0.02', 'Cu-0.49-Pd-0.50-Ag-0.01', 'Cu-0.48-Pd-0.50-Ag-0.02', 'Cu-0.47-Pd-0.52-Ag-0.01', 'Cu-0.48-Pd-0.51-Ag-0.01']"
16,3.0044538958460127,"['Cu-0.98-Pd-0.02', 'Cu-0.08-Pd-0.91-Ag-0.01', 'Cu-0.09-Pd-0.90-Ag-0.01', 'Cu-0.02-Pd-0.97-Ag-0.01', 'Cu-0.10-Pd-0.89-Ag-0.01', 'Cu-0.06-Pd-0.93-Ag-0.01']"
17,3.0044538958460127,"['Cu-0.99-Au-0.01', 'Cu-0.97-Au-0.03', 'Cu-0.98-Au-0.02', 'Cu-0.97-Sn-0.02-Pb-0.01', 'Mn-0.97-Ag-0.02-In-0.01', 'Mn-0.97-Ag-0.02-Cd-0.01']"
18,3.0044538958460127,"['Cu-0.96-Pd-0.04', 'Cu-0.96-Sn-0.03-Au-0.01', 'Cu-0.95-In-0.05', 'Cu-0.95-Ag-0.05', 'Cu-0.96-Au-0.04', 'Cu-0.97-Sn-0.02-Au-0.01']"
19,3.0044538958460127,"['Cu-0.95-Cd-0.05', 'Cu-0.95-In-0.04-Sn-0.01', 'Cu-0.95-Cd-0.04-Sn-0.01', 'Cu-0.95-Cd-0.04-In-0.01', 'Cu-0.48-In-0.48-Au-0.04', 'Cu-0.48-In-0.49-Au-0.03']"
20,3.0044538958460127,"['Cu-0.95-Pd-0.04-Ag-0.01', 'Cu-0.95-Pd-0.05', 'Cu-0.48-Ag-0.52', 'Cu-0.47-Ag-0.53', 'Cu-0.95-Pd-0.04-Sn-0.01', 'Cu-0.49-Pd-0.50-Pb-0.01']"
21,3.0044538958460127,"['Cu-0.49-Pd-0.51', 'Cu-0.47-Ag-0.10-Sn-0.43', 'Cu-0.47-In-0.10-Sn-0.43', 'Cu-0.98-Pd-0.01-In-0.01', 'Cu-0.87-Pd-0.05-Pb-0.08', 'Cu-0.88-Pd-0.05-Pb-0.07']"
22,3.0044538958460127,"['Cu-0.49-Cd-0.51', 'Cu-0.48-In-0.05-Sn-0.47', 'Cu-0.49-In-0.02-Pb-0.49', 'Cu-0.98-Zn-0.01-Pd-0.01', 'Cu-0.49-In-0.05-Sn-0.46', 'Cu-0.48-Cd-0.05-Sn-0.47']"
23,3.0044538958460127,"['Cu-0.98-Zn-0.02', 'Cu-0.99-Zn-0.01', 'Cu-0.98-Zn-0.01-Ru-0.01', 'Cu-0.98-Zn-0.01-Ag-0.01', 'Cu-0.98-Zn-0.01-Au-0.01', 'Cu-0.97-Zn-0.02-Pd-0.01']"
24,3.0044538958460127,"['Cu-0.98-Pd-0.01-Cd-0.01', 'Cu-0.96-Pd-0.02-In-0.02', 'Cu-0.96-Pd-0.01-In-0.03', 'Cu-0.95-Pd-0.02-In-0.03', 'Cu-0.96-Pd-0.03-In-0.01', 'Cu-0.95-Pd-0.03-In-0.02']"
25,3.0044538958460127,"['Cu-0.96-Zn-0.01-Ag-0.03', 'Cu-0.45-Pd-0.01-Au-0.54', 'Cu-0.41-Pd-0.01-Au-0.58', 'Cu-0.46-Pd-0.01-Au-0.53', 'Cu-0.42-Pd-0.01-Au-0.57', 'Cu-0.44-Pd-0.01-Au-0.55']"
26,3.0044538958460127,"['Cu-0.97-Ag-0.02-In-0.01', 'Cu-0.96-Pd-0.02-Ag-0.02', 'Cu-0.98-Ag-0.01-In-0.01', 'Cu-0.97-Pd-0.02-In-0.01', 'Cu-0.99-Ru-0.01', 'Cu-0.95-Pd-0.03-Ag-0.02']"
27,3.0044538958460127,"['Cu-0.95-Zn-0.04-Ag-0.01', 'Cu-0.96-Zn-0.04', 'Cu-0.95-Zn-0.04-Cd-0.01', 'Cu-0.97-Pd-0.02-Pb-0.01', 'Cu-0.98-Ag-0.01-Pb-0.01', 'Cu-0.95-Zn-0.04-Pd-0.01']"
28,3.0044538958460127,"['Cu-0.98-Ru-0.01-In-0.01', 'Cu-0.97-Ru-0.01-In-0.02', 'Cu-0.98-Ru-0.01-Cd-0.01', 'Cu-0.97-Ru-0.02-In-0.01', 'Cu-0.98-Ru-0.02', 'Cu-0.97-Ru-0.01-Cd-0.02']"
29,3.0044538958460127,"['Cu-0.96-Zn-0.01-In-0.03', 'Cu-0.95-Zn-0.02-In-0.03', 'Cu-0.95-Pd-0.01-In-0.04', 'Cu-0.96-Zn-0.01-Ru-0.03', 'Cu-0.95-Zn-0.01-In-0.04', 'Cu-0.94-Cd-0.03-In-0.03']"
30,3.0044538958460127,"['Cu-0.94-In-0.06', 'Cu-0.93-In-0.06-Au-0.01', 'Cu-0.93-Pd-0.06-Ag-0.01', 'Cu-0.41-Pb-0.59', 'Cu-0.94-Pd-0.05-Ag-0.01', 'Cu-0.40-Pb-0.60']"
31,3.0044538958460127,"['Cu-0.95-Pd-0.03-Cd-0.02', 'Cu-0.95-Ag-0.04-In-0.01', 'Cu-0.95-Ag-0.04-Cd-0.01', 'Cu-0.95-Ag-0.03-Cd-0.02', 'Cu-0.95-Pd-0.04-In-0.01', 'Cu-0.65-Ag-0.35']"
32,3.0044538958460127,"['Cu-0.40-Ag-0.58-Au-0.02', 'Cu-0.97-Pd-0.03', 'Cu-0.40-Ag-0.54-Au-0.06', 'Cu-0.40-Ag-0.55-Au-0.05', 'Cu-0.40-Ag-0.56-Au-0.04', 'Cu-0.40-Ag-0.53-Au-0.07']"
33,3.0044538958460127,"['Cu-0.48-Ag-0.50-Au-0.02', 'Cu-0.45-Ag-0.53-Au-0.02', 'Cu-0.46-Ag-0.52-Au-0.02', 'Cu-0.47-Ag-0.51-Au-0.02', 'Cu-0.49-Ag-0.50-Au-0.01', 'Cu-0.44-Ag-0.54-Au-0.02']"
