iteration,max_value,screened_compositions
1,1.6287012100607678,"['Cu-0.79-Ag-0.15-In-0.06', 'Cu-0.15-Ag-0.45-Sn-0.40', 'Cu-0.48-Ag-0.29-Sn-0.23', 'Cu-0.51-Ag-0.11-Au-0.38', 'Cu-0.20-Ag-0.21-In-0.59', 'Cu-0.18-Ag-0.81-Pb-0.01']"
2,1.6287012100607678,"['Cu-0.51-Sn-0.49', 'Cu-0.76-Sn-0.24', 'Cu-0.67-Sn-0.33', 'Cu-0.65-Sn-0.35', 'Cu-0.75-Sn-0.25', 'Cu-0.55-Sn-0.45']"
3,1.7865754628345123,"['Cu-0.80-Ag-0.20', 'Cu-0.90-Ag-0.10', 'Cu-0.97-Ag-0.03', 'Cu-0.76-Ag-0.24', 'Cu-0.91-Ag-0.09', 'Cu-0.93-Ag-0.07']"
4,1.8484533518090402,"['Cu-0.98-Ag-0.02', 'Cu-0.99-Ag-0.01', 'Cu-0.97-Ag-0.01-Au-0.02', 'Cu-0.97-Ag-0.02-Au-0.01', 'Cu-0.98-Ag-0.01-Au-0.01', 'Cu-0.98-Ag-0.01-Cd-0.01']"
5,1.8484533518090402,"['Cu-0.98-Ag-0.01-Sn-0.01', 'Cu-0.97-Ag-0.01-Cd-0.02', 'Cu-0.97-Ag-0.02-Cd-0.01', 'Cu-0.98-Ag-0.01-Pb-0.01', 'Cu-0.97-Ag-0.01-Sn-0.02', 'Cu-0.97-Ag-0.02-Sn-0.01']"
6,1.8484533518090402,"['Cu-0.97-Pd-0.02-Au-0.01', 'Cu-0.97-Pd-0.01-Au-0.02', 'Cu-0.98-Pd-0.01-Au-0.01', 'Cu-0.97-Pd-0.02-Cd-0.01', 'Cu-0.97-Pd-0.01-Cd-0.02', 'Cu-0.97-Pd-0.02-Sn-0.01']"
7,1.8484533518090402,"['Ru-0.97-Ag-0.01-Au-0.02', 'Ru-0.98-Ag-0.01-Au-0.01', 'Cr-0.97-Ag-0.01-Au-0.02', 'Ru-0.97-Ag-0.01-Sn-0.02', 'Cr-0.98-Ag-0.01-Au-0.01', 'Ru-0.98-Ag-0.01-Sn-0.01']"
8,2.262014800208158,"['Cu-0.97-Ru-0.01-In-0.02', 'Cu-0.98-Ru-0.01-In-0.01', 'Cu-0.97-Ru-0.02-In-0.01', 'Cu-0.97-Pd-0.01-In-0.02', 'Cu-0.98-Pd-0.01-In-0.01', 'Cu-0.97-Pd-0.02-In-0.01']"
9,2.262014800208158,"['Cu-0.97-Zn-0.02-Cd-0.01', 'Cu-0.98-Zn-0.01-Cd-0.01', 'Cu-0.97-Zn-0.01-Cd-0.02', 'Cu-0.97-Zn-0.02-Ag-0.01', 'Cu-0.97-Zn-0.02-Au-0.01', 'Cu-0.98-Zn-0.01-Ag-0.01']"
10,2.262014800208158,"['Cu-0.98-Pd-0.02', 'Cu-0.99-Pd-0.01', 'Pd-0.98-Ag-0.01-Cd-0.01', 'Pd-0.97-Ag-0.02-Cd-0.01', 'Pd-0.97-Ag-0.01-Cd-0.02', 'Pd-0.99-Ag-0.01']"
11,2.262014800208158,"['Cu-0.89-Pd-0.06-In-0.05', 'Cu-0.89-Pd-0.06-Ag-0.05', 'Cu-0.89-Pd-0.06-Au-0.05', 'Cu-0.53-Pd-0.05-In-0.42', 'Cu-0.51-Pd-0.05-In-0.44', 'Cu-0.51-Pd-0.03-In-0.46']"
12,2.262014800208158,"['Cu-0.98-Pd-0.01-Cd-0.01', 'Cu-0.51-Pd-0.01-Cd-0.48', 'Cu-0.52-Pd-0.01-Cd-0.47', 'Cu-0.57-Pd-0.01-Cd-0.42', 'Cu-0.59-Pd-0.01-Cd-0.40', 'Cu-0.55-Pd-0.01-Cd-0.44']"
13,2.262014800208158,"['Cu-0.48-Pd-0.52', 'Cu-0.49-Pd-0.51', 'Cu-0.28-Pd-0.72', 'Cu-0.45-Pd-0.55', 'Cu-0.24-Pd-0.76', 'Cu-0.22-Pd-0.78']"
14,2.262014800208158,"['Cu-0.96-Ag-0.04', 'Cu-0.97-Pb-0.03', 'Cu-0.95-Ag-0.05', 'Cu-0.98-Pb-0.02', 'Cu-0.99-Pb-0.01', 'Cu-0.97-Pd-0.03']"
15,2.262014800208158,"['Cu-0.93-Zn-0.06-Pd-0.01', 'Cu-0.84-Ag-0.02-Pb-0.14', 'Cu-0.82-Ag-0.02-Pb-0.16', 'Cu-0.88-Ag-0.02-Pb-0.10', 'Cu-0.86-Ag-0.02-Pb-0.12', 'Cu-0.80-Ag-0.02-Pb-0.18']"
16,2.899596808769319,"['Cu-0.96-Pd-0.03-In-0.01', 'Cu-0.96-Pd-0.01-In-0.03', 'Cu-0.96-Pd-0.02-In-0.02', 'Cu-0.96-Pd-0.04', 'Cu-0.96-In-0.04', 'Cu-0.96-Pd-0.01-Au-0.03']"
17,2.899596808769319,"['Cu-0.95-In-0.05', 'Cu-0.94-In-0.04-Au-0.02', 'Cu-0.94-In-0.05-Au-0.01', 'Cu-0.93-In-0.05-Au-0.02', 'Cu-0.95-Cd-0.05', 'Cu-0.94-Cd-0.04-Au-0.02']"
18,2.899596808769319,"['Cu-0.95-Cd-0.04-In-0.01', 'Cu-0.95-Cd-0.03-In-0.02', 'Cu-0.95-Cd-0.04-Sn-0.01', 'Cu-0.95-Cd-0.03-Sn-0.02', 'Cu-0.95-Cd-0.01-Sn-0.04', 'Cu-0.93-Zn-0.06-Ag-0.01']"
19,2.899596808769319,"['Cu-0.95-Ag-0.01-Cd-0.04', 'Cu-0.96-Ag-0.01-In-0.03', 'Cu-0.96-Ag-0.01-Cd-0.03', 'Pd-0.50-Ag-0.10-Au-0.40', 'Pd-0.50-Ag-0.10-Sn-0.40', 'Cu-0.95-Ag-0.01-In-0.04']"
20,2.899596808769319,"['Cu-0.97-Pd-0.01-Pb-0.02', 'Cu-0.96-Pd-0.02-Pb-0.02', 'Cu-0.96-Pd-0.03-Pb-0.01', 'Cu-0.98-Pd-0.01-Pb-0.01', 'Cu-0.97-Pd-0.02-Pb-0.01', 'Cu-0.95-Pd-0.03-Pb-0.02']"
21,2.899596808769319,"['Cu-0.97-In-0.03', 'Ag-0.96-In-0.04', 'Ag-0.97-Au-0.03', 'Ag-0.97-In-0.03', 'Ag-0.96-Au-0.04', 'Ag-0.96-Cd-0.03-In-0.01']"
22,2.899596808769319,"['Cu-0.45-Pd-0.05-In-0.50', 'Cu-0.46-Pd-0.05-In-0.49', 'Cu-0.47-Pd-0.05-In-0.48', 'Cu-0.45-Pd-0.04-In-0.51', 'Cu-0.47-Pd-0.04-In-0.49', 'Cu-0.46-Pd-0.04-In-0.50']"
23,3.0044538958460127,"['Cu-0.96-Pb-0.04', 'Cu-0.98-In-0.02', 'Cu-0.99-In-0.01', 'Cu-0.95-Pb-0.05', 'Cu-0.47-Ru-0.01-Pd-0.52', 'Cu-0.45-Ru-0.01-Pd-0.54']"
24,3.0044538958460127,"['Pd-0.98-In-0.02', 'Pd-0.99-In-0.01', 'Pd-0.97-In-0.03', 'Pd-0.96-In-0.04', 'Pd-0.98-Ag-0.02', 'Pd-0.97-Ag-0.03']"
