iteration,max_value,screened_compositions
0,1.6287012100607678,"['Cu-0.45-Ag-0.33-Au-0.22', 'Cu-0.03-Ag-0.05-Sn-0.92', 'Cu-0.13-Ag-0.27-In-0.60', 'Cu-0.38-Ag-0.28-Pb-0.34', 'Cu-0.85-Ag-0.03-Sn-0.12', 'Cu-0.52-Ag-0.37-Au-0.11', 'Cu-0.51-Ag-0.05-Cd-0.44', 'Cu-0.82-Ag-0.11-In-0.07', 'Cu-0.85-Ag-0.08-In-0.07', 'Cu-0.41-Ag-0.16-Pb-0.43', 'Cu-0.06-Ag-0.24-Cd-0.70', 'Cu-0.52-Ag-0.32-Sn-0.16', 'Cu-0.24-Ag-0.37-In-0.39', 'Cu-0.23-Ag-0.14-In-0.63', 'Cu-0.17-Ag-0.17-In-0.66', 'Cu-0.24-Ag-0.14-Cd-0.62', 'Cu-0.28-Ag-0.29-Au-0.43', 'Cu-0.17-Ag-0.06-Au-0.77', 'Cu-0.62-Ag-0.22-Au-0.16', 'Cu-0.67-Ag-0.26-Sn-0.07', 'Cu-0.28-Ag-0.44-Sn-0.28', 'Cu-0.38-Ag-0.44-Au-0.18', 'Cu-0.04-Ag-0.47-Au-0.49', 'Cu-0.76-Ag-0.22-Pb-0.02', 'Cu-0.18-Ag-0.30-In-0.52', 'Cu-0.06-Ag-0.08-Sn-0.86', 'Cu-0.30-Ag-0.13-Pb-0.57', 'Cu-0.18-Ag-0.44-Pb-0.38', 'Cu-0.54-Ag-0.27-Cd-0.19', 'Cu-0.13-Ag-0.05-Au-0.82']"
1,1.6287012100607678,"['Cu-0.87-Pd-0.13', 'Cu-0.85-Pd-0.15', 'Cu-0.86-Pd-0.14', 'Cu-0.82-Pd-0.18', 'Cu-0.83-Pd-0.17', 'Cu-0.84-Pd-0.16', 'Cu-0.88-Pd-0.12', 'Cu-0.89-Pd-0.11', 'Cu-0.79-Pd-0.21', 'Cu-0.80-Pd-0.20', 'Cu-0.81-Pd-0.19', 'Cu-0.90-Pd-0.10', 'Cu-0.91-Pd-0.09', 'Cu-0.92-Pd-0.08', 'Cu-0.77-Pd-0.23', 'Cu-0.78-Pd-0.22', 'Cu-0.54-Pd-0.46', 'Cu-0.55-Pd-0.45', 'Cu-0.56-Pd-0.44', 'Cu-0.57-Pd-0.43', 'Cu-0.58-Pd-0.42', 'Cu-0.59-Pd-0.41', 'Cu-0.60-Pd-0.40', 'Cu-0.61-Pd-0.39', 'Cu-0.52-Pd-0.48', 'Cu-0.53-Pd-0.47', 'Cu-0.69-Pd-0.31', 'Cu-0.68-Pd-0.32', 'Cu-0.70-Pd-0.30', 'Cu-0.67-Pd-0.33']"
2,1.6287012100607678,"['Cu-0.45-Ag-0.55', 'Cu-0.46-Ag-0.54', 'Cu-0.47-Ag-0.53', 'Cu-0.48-Ag-0.52', 'Cu-0.49-Ag-0.51', 'Cu-0.41-Ag-0.59', 'Cu-0.42-Ag-0.58', 'Cu-0.43-Ag-0.57', 'Cu-0.44-Ag-0.56', 'Cu-0.51-Ag-0.49', 'Cu-0.52-Ag-0.48', 'Cu-0.38-Ag-0.62', 'Cu-0.39-Ag-0.61', 'Cu-0.40-Ag-0.60', 'Cu-0.28-Ag-0.72', 'Cu-0.29-Ag-0.71', 'Cu-0.30-Ag-0.70', 'Cu-0.31-Ag-0.69', 'Cu-0.32-Ag-0.68', 'Cu-0.33-Ag-0.67', 'Cu-0.34-Ag-0.66', 'Cu-0.35-Ag-0.65', 'Cu-0.36-Ag-0.64', 'Cu-0.37-Ag-0.63', 'Cu-0.53-Ag-0.47', 'Cu-0.20-Ag-0.80', 'Cu-0.22-Ag-0.78', 'Cu-0.19-Ag-0.81', 'Cu-0.23-Ag-0.77', 'Cu-0.21-Ag-0.79']"
3,1.6287012100607678,"['Cu-0.47-Sn-0.53', 'Cu-0.46-Sn-0.54', 'Cu-0.45-Sn-0.55', 'Cu-0.49-Sn-0.51', 'Cu-0.48-Sn-0.52', 'Cu-0.44-Sn-0.56', 'Cu-0.43-Sn-0.57', 'Cu-0.42-Sn-0.58', 'Cu-0.52-Sn-0.48', 'Cu-0.41-Sn-0.59', 'Cu-0.53-Sn-0.47', 'Cu-0.51-Sn-0.49', 'Cu-0.53-Ru-0.47', 'Cu-0.40-Sn-0.60', 'Pd-0.51-Ag-0.49', 'Cu-0.52-Ru-0.48', 'Cu-0.46-Sn-0.53-Au-0.01', 'Cu-0.47-Sn-0.52-Au-0.01', 'Pd-0.49-Ag-0.51', 'Cu-0.50-Sn-0.49-Au-0.01', 'Pd-0.53-Ag-0.47', 'Cu-0.46-Sn-0.51-Au-0.03', 'Cu-0.47-Sn-0.51-Au-0.02', 'Cu-0.46-Sn-0.48-Au-0.06', 'Cu-0.46-Sn-0.52-Au-0.02', 'Cu-0.50-Sn-0.48-Au-0.02', 'Cu-0.46-Sn-0.49-Au-0.05', 'Cu-0.47-Sn-0.48-Au-0.05', 'Cu-0.45-Ru-0.55', 'Cu-0.46-Ru-0.54']"
4,1.6287012100607678,"['Cu-0.50-Pd-0.49-Au-0.01', 'Cu-0.50-Pd-0.49-In-0.01', 'Cu-0.47-Pd-0.50-Au-0.03', 'Cu-0.50-Pd-0.49-Cd-0.01', 'Cu-0.47-Pd-0.50-In-0.03', 'Cu-0.46-Pd-0.50-Au-0.04', 'Cu-0.47-Pd-0.50-Cd-0.03', 'Cu-0.46-Pd-0.50-In-0.04', 'Cu-0.46-Pd-0.50-Cd-0.04', 'Cu-0.48-Pd-0.50-Au-0.02', 'Cu-0.49-Pd-0.50-Au-0.01', 'Cu-0.50-Pd-0.49-Pb-0.01', 'Cu-0.48-Pd-0.50-In-0.02', 'Cu-0.49-Pd-0.50-In-0.01', 'Cu-0.48-Pd-0.50-Cd-0.02', 'Cu-0.49-Pd-0.50-Cd-0.01', 'Cu-0.47-Pd-0.50-Pb-0.03', 'Cu-0.50-Pd-0.48-Au-0.02', 'Cu-0.50-Pd-0.48-In-0.02', 'Cu-0.47-Pd-0.50-Ag-0.03', 'Cu-0.50-Pd-0.49-Ag-0.01', 'Cu-0.46-Pd-0.50-Pb-0.04', 'Cu-0.49-Pd-0.49-In-0.02', 'Cu-0.49-Pd-0.49-Au-0.02', 'Cu-0.50-Pd-0.48-Cd-0.02', 'Cu-0.48-Pd-0.49-In-0.03', 'Cu-0.48-Pd-0.49-Au-0.03', 'Cu-0.46-Pd-0.50-Ag-0.04', 'Cu-0.50-Pd-0.49-Sn-0.01', 'Cu-0.45-Pd-0.50-In-0.05']"
5,1.6287012100607678,"['Pd-0.50-Sn-0.49-Au-0.01', 'Pd-0.50-Sn-0.48-Au-0.02', 'Cu-0.50-Ag-0.47-Sn-0.03', 'Cu-0.53-Ag-0.46-Sn-0.01', 'Pd-0.49-Sn-0.49-Au-0.02', 'Cu-0.51-Ag-0.47-Sn-0.02', 'Pd-0.49-Sn-0.48-Au-0.03', 'Pd-0.51-Sn-0.48-Au-0.01', 'Cu-0.53-Ag-0.46-Cd-0.01', 'Pd-0.49-Sn-0.50-Au-0.01', 'Pd-0.47-Sn-0.49-Au-0.04', 'Pd-0.48-Sn-0.48-Au-0.04', 'Pd-0.47-Sn-0.48-Au-0.05', 'Pd-0.48-Sn-0.49-Au-0.03', 'Pd-0.46-Sn-0.49-Au-0.05', 'Cu-0.50-Ag-0.47-Au-0.03', 'Cu-0.53-Ag-0.46-Au-0.01', 'Pd-0.48-Sn-0.50-Au-0.02', 'Pd-0.47-Sn-0.50-Au-0.03', 'Cu-0.52-Ag-0.47-Sn-0.01', 'Pd-0.46-Sn-0.50-Au-0.04', 'Pd-0.47-Sn-0.51-Au-0.02', 'Pd-0.48-Sn-0.51-Au-0.01', 'Pd-0.50-Sn-0.47-Au-0.03', 'Pd-0.47-Sn-0.52-Au-0.01', 'Pd-0.46-Sn-0.51-Au-0.03', 'Pd-0.46-Sn-0.52-Au-0.02', 'Pd-0.46-Sn-0.53-Au-0.01', 'Pd-0.49-Sn-0.47-Au-0.04', 'Mn-0.51-Sn-0.48-Au-0.01']"
6,1.6287012100607678,"['Cu-0.53-Cd-0.45-Au-0.02', 'Cu-0.54-Cd-0.45-Au-0.01', 'Cu-0.50-Cd-0.49-Au-0.01', 'Cu-0.50-Cd-0.48-Au-0.02', 'Cu-0.52-Cd-0.45-Au-0.03', 'Cu-0.53-Cd-0.45-Sn-0.02', 'Cu-0.49-Cd-0.49-Au-0.02', 'Cu-0.51-Cd-0.48-Au-0.01', 'Cu-0.51-Cd-0.47-Au-0.02', 'Cu-0.55-Cd-0.44-Au-0.01', 'Cu-0.56-Cd-0.43-Au-0.01', 'Cu-0.53-Cd-0.44-Au-0.03', 'Cu-0.53-In-0.45-Au-0.02', 'Cu-0.55-Cd-0.43-Au-0.02', 'Cu-0.54-Cd-0.44-Au-0.02', 'Cu-0.56-Cd-0.42-Au-0.02', 'Cu-0.54-Cd-0.45-Sn-0.01', 'Cu-0.49-Cd-0.50-Au-0.01', 'Cu-0.54-Cd-0.43-Au-0.03', 'Cu-0.52-In-0.45-Au-0.03', 'Cu-0.53-Zn-0.46-In-0.01', 'Cu-0.50-In-0.48-Au-0.02', 'Cu-0.55-Cd-0.42-Au-0.03', 'Cu-0.54-In-0.45-Au-0.01', 'Cu-0.56-Cd-0.43-Sn-0.01', 'Cu-0.52-Pd-0.47-Sn-0.01', 'Cu-0.50-In-0.49-Au-0.01', 'Cu-0.53-Cd-0.46-Au-0.01', 'Cu-0.49-Cd-0.48-Au-0.03', 'Cu-0.50-Cd-0.49-Sn-0.01']"
7,1.8484407302357593,"['Cu-0.53-Pd-0.46-Au-0.01', 'Cu-0.53-Pd-0.46-In-0.01', 'Cu-0.53-Pd-0.46-Cd-0.01', 'Cu-0.53-Pd-0.45-Au-0.02', 'Cu-0.54-Pd-0.45-Au-0.01', 'Cu-0.54-Pd-0.45-Cd-0.01', 'Cu-0.53-Pd-0.46-Ag-0.01', 'Cu-0.54-Pd-0.45-In-0.01', 'Cu-0.51-Pd-0.46-Au-0.03', 'Cu-0.53-Pd-0.45-In-0.02', 'Cu-0.51-Ag-0.01-Cd-0.48', 'Cu-0.51-Ag-0.02-Cd-0.47', 'Cu-0.51-Ag-0.03-Cd-0.46', 'Cu-0.51-Ag-0.04-Cd-0.45', 'Cu-0.50-Ag-0.02-Cd-0.48', 'Cu-0.50-Ag-0.03-Cd-0.47', 'Cu-0.50-Ag-0.04-Cd-0.46', 'Cu-0.50-Ag-0.05-Cd-0.45', 'Cu-0.50-Ag-0.06-Cd-0.44', 'Cu-0.50-Ag-0.01-Cd-0.49', 'Cu-0.49-Ag-0.03-Cd-0.48', 'Cu-0.49-Ag-0.04-Cd-0.47', 'Cu-0.49-Ag-0.05-Cd-0.46', 'Cu-0.49-Ag-0.06-Cd-0.45', 'Cu-0.49-Ag-0.07-Cd-0.44', 'Cu-0.49-Ag-0.01-Cd-0.50', 'Cu-0.49-Ag-0.02-Cd-0.49', 'Cu-0.50-Pd-0.46-Au-0.04', 'Cu-0.51-Ag-0.06-Cd-0.43', 'Cu-0.51-Pd-0.47-Au-0.02']"
8,1.8484407302357593,"['Cu-0.50-Ag-0.02-Au-0.48', 'Cu-0.50-Ag-0.03-Au-0.47', 'Cu-0.50-Ag-0.04-Au-0.46', 'Co-0.50-Cu-0.02-Cd-0.48', 'Co-0.50-Cu-0.03-Cd-0.47', 'Co-0.50-Cu-0.04-Cd-0.46', 'Cu-0.50-Pd-0.02-Au-0.48', 'Co-0.48-Cu-0.04-Cd-0.48', 'Co-0.51-Cu-0.01-Cd-0.48', 'Co-0.51-Cu-0.03-Cd-0.46', 'Cu-0.49-Ag-0.03-Au-0.48', 'Cu-0.50-Pd-0.04-Au-0.46', 'Co-0.51-Cu-0.02-Cd-0.47', 'Co-0.50-Cu-0.01-Cd-0.49', 'Co-0.48-Cu-0.03-Cd-0.49', 'Cu-0.50-Pd-0.03-Au-0.47', 'Cu-0.51-Pd-0.01-Au-0.48', 'Co-0.49-Cu-0.03-Cd-0.48', 'Co-0.49-Cu-0.04-Cd-0.47', 'Co-0.47-Cu-0.04-Cd-0.49', 'Cu-0.49-Ag-0.04-Au-0.47', 'Co-0.49-Cu-0.02-Cd-0.49', 'Co-0.51-Cu-0.47-Au-0.02', 'Cu-0.49-Pd-0.03-Au-0.48', 'Co-0.50-Cu-0.04-Zn-0.46', 'Co-0.51-Cu-0.01-Zn-0.48', 'Cu-0.51-Ag-0.01-Au-0.48', 'Co-0.51-Cu-0.03-Zn-0.46', 'Co-0.53-Cu-0.01-Cd-0.46', 'Cu-0.51-Pd-0.03-Au-0.46']"
9,1.8484407302357593,"['Cu-0.54-Ag-0.45-In-0.01', 'Cu-0.44-Ag-0.01-Cd-0.55', 'Cu-0.48-Ag-0.04-Cd-0.48', 'Cu-0.49-Ag-0.44-In-0.07', 'Cu-0.48-Ag-0.51-In-0.01', 'Cu-0.48-Ag-0.44-In-0.08', 'Cu-0.44-Ag-0.03-Cd-0.53', 'Cu-0.50-Ag-0.46-In-0.04', 'Cu-0.44-Ag-0.02-Cd-0.54', 'Cu-0.47-Zn-0.01-Cd-0.52', 'Cu-0.50-Ag-0.45-In-0.05', 'Cu-0.50-Ag-0.44-In-0.06', 'Cu-0.45-Ag-0.01-Cd-0.54', 'Cu-0.47-Ag-0.44-In-0.09', 'Cu-0.44-Pd-0.01-Cd-0.55', 'Cu-0.45-Pd-0.01-Cd-0.54', 'Cu-0.47-Ag-0.51-In-0.02', 'Cu-0.47-Ag-0.48-In-0.05', 'Cu-0.44-Ag-0.04-Cd-0.52', 'Cu-0.50-Ag-0.11-In-0.39', 'Cu-0.48-Ag-0.47-In-0.05', 'Cu-0.49-Ag-0.46-In-0.05', 'Cu-0.52-Ag-0.46-In-0.02', 'Cu-0.49-Ag-0.47-In-0.04', 'Cu-0.48-Ag-0.48-In-0.04', 'Cu-0.54-Ag-0.45-Cd-0.01', 'Cu-0.43-Ag-0.01-Cd-0.56', 'Cu-0.50-Ag-0.43-In-0.07', 'Cu-0.47-Ag-0.46-In-0.07', 'Cu-0.47-Ag-0.52-In-0.01']"
