iteration,max_value,screened_compositions
0,1.6287012100607678,"['Cu-0.10-Pd-0.55-Au-0.35', 'Cu-0.02-Pd-0.59-Ag-0.39', 'Cu-0.02-Pd-0.87-Pb-0.11', 'Cu-0.44-Pd-0.53-In-0.03', 'Cu-0.27-Pd-0.71-Cd-0.02', 'Cu-0.05-Pd-0.61-Cd-0.34', 'Cu-0.22-Pd-0.71-Cd-0.07', 'Cu-0.24-Pd-0.50-Au-0.26', 'Cu-0.11-Pd-0.88-Sn-0.01', 'Cu-0.14-Pd-0.70-Sn-0.16', 'Cu-0.35-Pd-0.59-Cd-0.06', 'Cu-0.39-Pd-0.50-Au-0.11', 'Cu-0.01-Pd-0.56-Pb-0.43', 'Cu-0.06-Pd-0.87-Au-0.07', 'Cu-0.16-Pd-0.60-Au-0.24', 'Cu-0.28-Pd-0.54-Pb-0.18', 'Cu-0.04-Pd-0.58-Sn-0.38', 'Cu-0.02-Pd-0.86-Cd-0.12', 'Cu-0.09-Pd-0.76-Au-0.15', 'Cu-0.24-Pd-0.72-Au-0.04', 'Cu-0.18-Pd-0.79-Au-0.03', 'Cu-0.38-Pd-0.60-Cd-0.02', 'Cu-0.30-Pd-0.54-In-0.16', 'Cu-0.31-Pd-0.60-Sn-0.09', 'Cu-0.01-Pd-0.87-Ag-0.12', 'Cu-0.41-Pd-0.50-In-0.09', 'Cu-0.19-Pd-0.69-Pb-0.12', 'Cu-0.18-Pd-0.67-In-0.15', 'Cu-0.12-Pd-0.86-Pb-0.02', 'Cu-0.14-Pd-0.61-Au-0.25']"
1,1.7865754628345123,"['Cu-0.72-Ag-0.28', 'Cu-0.75-Ag-0.25', 'Cu-0.63-Ag-0.37', 'Cu-0.70-Ag-0.30', 'Cu-0.96-Ag-0.04', 'Cu-0.84-Ag-0.16', 'Cu-0.79-Ag-0.21', 'Cu-0.74-Ag-0.26', 'Cu-0.81-Ag-0.19', 'Cu-0.90-Ag-0.10', 'Cu-0.61-Ag-0.39', 'Cu-0.77-Ag-0.23', 'Cu-0.86-Ag-0.14', 'Cu-0.56-Ag-0.44', 'Cu-0.83-Ag-0.17', 'Cu-0.89-Ag-0.11', 'Cu-0.87-Ag-0.13', 'Cu-0.67-Ag-0.33', 'Cu-0.85-Ag-0.15', 'Cu-0.91-Ag-0.09', 'Cu-0.53-Ag-0.47', 'Cu-0.97-Ag-0.03', 'Cu-0.51-Ag-0.49', 'Cu-0.65-Ag-0.35', 'Cu-0.71-Ag-0.29', 'Cu-0.99-Ag-0.01', 'Cu-0.76-Ag-0.24', 'Cu-0.92-Ag-0.08', 'Cu-0.57-Ag-0.43', 'Cu-0.95-Ag-0.05']"
2,3.0044538958460127,"['Cu-0.97-Ru-0.03', 'Cu-0.98-Ru-0.02', 'Cu-0.99-Ru-0.01', 'Cu-0.96-In-0.04', 'Cu-0.97-In-0.03', 'Cu-0.98-In-0.02', 'Cu-0.99-In-0.01', 'Cu-0.98-Ag-0.02', 'Cu-0.96-In-0.01-Sn-0.03', 'Cu-0.96-In-0.02-Sn-0.02', 'Cu-0.96-In-0.03-Sn-0.01', 'Cu-0.97-Ag-0.02-In-0.01', 'Cu-0.98-Ag-0.01-In-0.01', 'Cu-0.97-Ag-0.01-In-0.02', 'Cu-0.96-In-0.01-Au-0.03', 'Cu-0.96-In-0.02-Au-0.02', 'Cu-0.97-In-0.01-Sn-0.02', 'Cu-0.96-In-0.01-Pb-0.03', 'Cu-0.96-In-0.02-Pb-0.02', 'Cu-0.96-In-0.03-Au-0.01', 'Cu-0.97-In-0.02-Sn-0.01', 'Cu-0.98-In-0.01-Sn-0.01', 'Cu-0.97-Ag-0.02-Cd-0.01', 'Cu-0.98-Ag-0.01-Cd-0.01', 'Cu-0.96-In-0.03-Pb-0.01', 'Cu-0.97-Ag-0.01-Cd-0.02', 'Cu-0.97-In-0.01-Pb-0.02', 'Cu-0.96-Ag-0.03-In-0.01', 'Cu-0.96-Ag-0.03-Pb-0.01', 'Cu-0.97-In-0.01-Au-0.02']"
3,3.0044538958460127,"['Cu-0.98-Pb-0.02', 'Cu-0.99-Pb-0.01', 'Cu-0.99-Cd-0.01', 'Pd-0.97-Ag-0.02-In-0.01', 'Cu-0.98-Cd-0.02', 'Pd-0.98-Ag-0.01-In-0.01', 'Pd-0.97-Ag-0.02-Sn-0.01', 'Pd-0.97-Sn-0.02-Au-0.01', 'Pd-0.97-Sn-0.01-Au-0.02', 'Pd-0.97-Ag-0.01-In-0.02', 'Pd-0.97-Ag-0.02-Cd-0.01', 'Pd-0.98-Ag-0.01-Sn-0.01', 'Pd-0.97-Cd-0.02-In-0.01', 'Cu-0.97-Pb-0.03', 'Pd-0.98-Sn-0.01-Au-0.01', 'Pd-0.97-Ag-0.01-Sn-0.02', 'Pd-0.98-Ag-0.01-Cd-0.01', 'Cu-0.98-Cd-0.01-In-0.01', 'Pd-0.98-Cd-0.01-In-0.01', 'Cu-0.97-Cd-0.03', 'Cu-0.97-Cd-0.02-In-0.01', 'Pd-0.97-Ag-0.01-Cd-0.02', 'Cu-0.97-Ru-0.02-In-0.01', 'Pd-0.97-Ag-0.02-Au-0.01', 'Pd-0.97-In-0.02-Sn-0.01', 'Pd-0.97-Cd-0.01-In-0.02', 'Pd-0.98-Ag-0.01-Au-0.01', 'Cu-0.95-Pb-0.05', 'Pd-0.97-Cd-0.02-Sn-0.01', 'Cu-0.97-Ru-0.02-Cd-0.01']"
4,3.0044538958460127,"['Cu-0.51-Pd-0.49', 'Cu-0.51-Ru-0.49', 'Cu-0.53-Ru-0.47', 'Cu-0.52-Pd-0.48', 'Cu-0.53-Pd-0.47', 'Cu-0.52-Ru-0.48', 'Cu-0.48-Pd-0.52', 'Cu-0.49-Pd-0.51', 'Cu-0.95-Ag-0.04-In-0.01', 'Cu-0.47-Pd-0.53', 'Cu-0.54-Ru-0.46', 'Cu-0.55-Ru-0.45', 'Cu-0.54-Pd-0.46', 'Cu-0.55-Pd-0.45', 'Cu-0.48-Ru-0.52', 'Cu-0.49-Ru-0.51', 'Cu-0.47-Ru-0.53', 'Cu-0.51-Sn-0.49', 'Cu-0.53-Sn-0.47', 'Cu-0.46-Pd-0.54', 'Cu-0.52-Sn-0.48', 'Cu-0.46-Ru-0.54', 'Cu-0.95-Ag-0.03-In-0.02', 'Cu-0.48-Sn-0.52', 'Cu-0.49-Sn-0.51', 'Cu-0.45-Pd-0.55', 'Cu-0.47-Sn-0.53', 'Cu-0.48-Cd-0.50-In-0.02', 'Cu-0.47-Cd-0.51-In-0.02', 'Cu-0.46-Cd-0.52-In-0.02']"
5,3.0044538958460127,"['Cu-0.96-Au-0.04', 'Pd-0.50-Ag-0.49-In-0.01', 'Cu-0.50-Ag-0.48-In-0.02', 'Cu-0.50-Ag-0.49-In-0.01', 'Pd-0.49-Ag-0.51', 'Pd-0.50-Ag-0.47-In-0.03', 'Cu-0.49-Ag-0.50-In-0.01', 'Pd-0.50-Ag-0.48-In-0.02', 'Pd-0.49-Ag-0.50-In-0.01', 'Cu-0.50-Ag-0.47-In-0.03', 'Pd-0.50-Ag-0.49-Cd-0.01', 'Pd-0.50-Ag-0.47-Cd-0.03', 'Cu-0.95-Au-0.05', 'Pd-0.50-Ag-0.48-Cd-0.02', 'Pd-0.48-Ag-0.52', 'Cu-0.97-Au-0.03', 'Pd-0.50-Ag-0.46-In-0.04', 'Pd-0.49-Ag-0.50-Cd-0.01', 'Pd-0.49-Ag-0.49-In-0.02', 'Cu-0.50-Ag-0.46-In-0.04', 'Cu-0.49-Ag-0.49-In-0.02', 'Cu-0.50-Ag-0.49-Cd-0.01', 'Pd-0.48-Ag-0.50-In-0.02', 'Cu-0.49-Ag-0.50-Cd-0.01', 'Pd-0.51-Ag-0.49', 'Pd-0.49-Ag-0.48-In-0.03', 'Pd-0.49-Ag-0.47-In-0.04', 'Cu-0.50-Ag-0.48-Cd-0.02', 'Pd-0.47-Ag-0.53', 'Cu-0.50-Ag-0.07-In-0.43']"
6,3.0044538958460127,"['Cu-0.91-Ag-0.04-In-0.05', 'Cu-0.91-Ag-0.03-In-0.06', 'Cu-0.98-In-0.01-Pb-0.01', 'Cu-0.91-Ag-0.02-In-0.07', 'Cu-0.99-Sn-0.01', 'Cu-0.91-Ag-0.01-In-0.08', 'Cu-0.54-Ag-0.45-In-0.01', 'Cu-0.97-Sn-0.03', 'Cu-0.98-Sn-0.01-Au-0.01', 'Cu-0.98-Sn-0.02', 'Cu-0.97-Sn-0.02-Au-0.01', 'Cu-0.96-Sn-0.04', 'Cu-0.54-Ag-0.44-In-0.02', 'Cu-0.96-Sn-0.03-Au-0.01', 'Cu-0.96-Ag-0.02-Sn-0.02', 'Cu-0.96-Ag-0.03-Sn-0.01', 'Cu-0.97-Sn-0.01-Au-0.02', 'Cu-0.96-Ru-0.04', 'Cu-0.54-Ag-0.10-In-0.36', 'Cu-0.49-Ag-0.51', 'Cu-0.95-Ag-0.02-Sn-0.03', 'Cu-0.96-Sn-0.02-Au-0.02', 'Cu-0.55-Ag-0.01-In-0.44', 'Cu-0.55-Ag-0.03-In-0.42', 'Cu-0.96-Ag-0.01-Sn-0.03', 'Cu-0.95-Sn-0.04-Au-0.01', 'Cu-0.55-Ag-0.04-In-0.41', 'Cu-0.54-Ag-0.43-In-0.03', 'Cu-0.95-Ag-0.03-Sn-0.02', 'Cu-0.54-Ag-0.12-In-0.34']"
7,3.0044538958460127,"['Cu-0.96-Cd-0.04', 'Cu-0.95-Cd-0.05', 'Cu-0.95-In-0.05', 'Cu-0.95-In-0.04-Sn-0.01', 'Cu-0.51-Pb-0.49', 'Cu-0.52-Pb-0.48', 'Cu-0.53-Pb-0.47', 'Cu-0.95-Cd-0.04-Sn-0.01', 'Cu-0.47-Pb-0.53', 'Cu-0.46-Pb-0.54', 'Cu-0.48-Pb-0.52', 'Cu-0.45-Pb-0.55', 'Cu-0.49-Pb-0.51', 'Cu-0.48-Ag-0.52', 'Cu-0.96-Zn-0.04', 'Cu-0.44-Pb-0.56', 'Cu-0.43-Pb-0.57', 'Cu-0.38-Pb-0.62', 'Cu-0.93-Ag-0.06-In-0.01', 'Cu-0.94-Ag-0.05-In-0.01', 'Cu-0.92-Ag-0.07-In-0.01', 'Cu-0.40-Pb-0.60', 'Cu-0.39-Pb-0.61', 'Cu-0.41-Pb-0.59', 'Cu-0.42-Pb-0.58', 'Cu-0.96-Pd-0.04', 'Cu-0.49-Ag-0.50-Pb-0.01', 'Cu-0.54-Pb-0.46', 'Cu-0.92-Ag-0.05-In-0.03', 'Cu-0.33-Pb-0.67']"
8,3.0044538958460127,"['Cu-0.97-Pd-0.03', 'Cu-0.98-Pd-0.02', 'Cu-0.99-Pd-0.01', 'Cu-0.95-Pd-0.05', 'Cu-0.96-Pd-0.03-In-0.01', 'Cu-0.95-Pd-0.04-In-0.01', 'Cu-0.95-Pd-0.03-In-0.02', 'Cu-0.96-Pd-0.02-In-0.02', 'Cu-0.96-Pd-0.03-Cd-0.01', 'Cu-0.95-Pd-0.04-Cd-0.01', 'Cu-0.97-Pd-0.01-In-0.02', 'Cu-0.97-Pd-0.02-In-0.01', 'Cu-0.95-Pd-0.03-Cd-0.02', 'Cu-0.96-Pd-0.02-Cd-0.02', 'Cu-0.98-Pd-0.01-In-0.01', 'Cu-0.97-Pd-0.02-Cd-0.01', 'Cu-0.97-Pd-0.01-Cd-0.02', 'Cu-0.96-Pd-0.03-Sn-0.01', 'Cu-0.96-Pd-0.03-Ag-0.01', 'Cu-0.95-Pd-0.04-Sn-0.01', 'Cu-0.95-Pd-0.03-Sn-0.02', 'Cu-0.95-Pd-0.04-Ag-0.01', 'Cu-0.95-Pd-0.02-In-0.03', 'Cu-0.96-Pd-0.02-Sn-0.02', 'Cu-0.96-Pd-0.01-In-0.03', 'Cu-0.98-Pd-0.01-Cd-0.01', 'Cu-0.95-Sn-0.05', 'Cu-0.96-Pd-0.02-Ag-0.02', 'Cu-0.95-Pd-0.03-Ag-0.02', 'Cu-0.56-Pd-0.42-In-0.02']"
9,3.0044538958460127,"['Zn-0.96-Pd-0.04', 'Zn-0.97-Pd-0.03', 'Zn-0.96-Pd-0.03-In-0.01', 'Zn-0.96-Pd-0.02-In-0.02', 'Zn-0.97-Pd-0.02-In-0.01', 'Zn-0.95-Pd-0.03-In-0.02', 'Zn-0.95-Pd-0.04-In-0.01', 'Zn-0.97-Pd-0.01-In-0.02', 'Zn-0.98-Pd-0.02', 'Zn-0.98-Pd-0.01-In-0.01', 'Zn-0.96-Pd-0.02-Ag-0.02', 'Zn-0.96-Pd-0.03-Ag-0.01', 'Zn-0.96-Pd-0.03-Cd-0.01', 'Zn-0.97-Pd-0.02-Ag-0.01', 'Zn-0.96-Pd-0.02-Cd-0.02', 'Zn-0.97-Pd-0.02-Cd-0.01', 'Zn-0.97-Ag-0.03', 'Zn-0.97-Pb-0.03', 'Zn-0.95-Pd-0.03-Cd-0.02', 'Zn-0.96-Ag-0.04', 'Zn-0.97-Pd-0.01-Cd-0.02', 'Zn-0.95-Pd-0.03-Ag-0.02', 'Zn-0.95-Pd-0.04-Cd-0.01', 'Zn-0.99-Pd-0.01', 'Zn-0.97-Pd-0.01-Ag-0.02', 'Zn-0.95-Pd-0.05', 'Ag-0.97-In-0.03', 'Zn-0.98-Pd-0.01-Cd-0.01', 'Zn-0.96-Pb-0.04', 'Zn-0.95-Pd-0.04-Ag-0.01']"
