iteration,max_value,screened_compositions
0,1.6287012100607678,"['Cu-0.10-Ag-0.03-Sn-0.87', 'Cu-0.62-Ag-0.09-In-0.29', 'Cu-0.09-Ag-0.18-Cd-0.73', 'Cu-0.18-Ag-0.03-In-0.79', 'Cu-0.29-Ag-0.53-Pb-0.18', 'Cu-0.39-Ag-0.43-Au-0.18', 'Cu-0.49-Ag-0.44-Au-0.07', 'Cu-0.45-Ag-0.44-Pb-0.11', 'Cu-0.85-Ag-0.13-Cd-0.02', 'Cu-0.63-Ag-0.16-Pb-0.21', 'Cu-0.51-Ag-0.28-Pb-0.21', 'Cu-0.26-Ag-0.21-Au-0.53', 'Cu-0.61-Ag-0.29-Au-0.10', 'Cu-0.38-Ag-0.59-Au-0.03', 'Cu-0.07-Ag-0.26-Sn-0.67', 'Cu-0.62-Ag-0.16-Au-0.22', 'Cu-0.76-Ag-0.12-In-0.12', 'Cu-0.52-Ag-0.14-In-0.34', 'Cu-0.24-Ag-0.70-Pb-0.06', 'Cu-0.40-Ag-0.27-In-0.33', 'Cu-0.62-Ag-0.38', 'Cu-0.16-Ag-0.65-In-0.19', 'Cu-0.58-Ag-0.03-Pb-0.39', 'Cu-0.64-Ag-0.12-Au-0.24', 'Cu-0.06-Ag-0.51-Cd-0.43', 'Cu-0.13-Ag-0.66-Sn-0.21', 'Cu-0.55-Ag-0.39-Pb-0.06', 'Cu-0.24-Ag-0.01-Pb-0.75', 'Cu-0.29-Ag-0.12-Sn-0.59', 'Cu-0.04-Ag-0.85-Cd-0.11']"
1,1.6287012100607678,"['Cu-0.18-Pd-0.03-In-0.79', 'Cu-0.16-Pd-0.03-In-0.81', 'Cu-0.16-Pd-0.04-In-0.80', 'Cu-0.16-Pd-0.05-In-0.79', 'Cu-0.17-Pd-0.03-In-0.80', 'Cu-0.17-Pd-0.04-In-0.79', 'Cu-0.18-Pd-0.01-In-0.81', 'Cu-0.18-Pd-0.02-In-0.80', 'Cu-0.19-Pd-0.01-In-0.80', 'Cu-0.19-Pd-0.02-In-0.79', 'Cu-0.20-Pd-0.01-In-0.79', 'Cu-0.16-Pd-0.01-In-0.83', 'Cu-0.16-Pd-0.02-In-0.82', 'Cu-0.17-Pd-0.01-In-0.82', 'Cu-0.17-Pd-0.02-In-0.81', 'Cu-0.10-Pd-0.03-In-0.87', 'Cu-0.13-Pd-0.06-In-0.81', 'Cu-0.14-Pd-0.04-In-0.82', 'Cu-0.12-Pd-0.04-In-0.84', 'Cu-0.10-Pd-0.07-In-0.83', 'Cu-0.14-Pd-0.07-In-0.79', 'Cu-0.13-Pd-0.03-In-0.84', 'Cu-0.13-Pd-0.08-In-0.79', 'Cu-0.10-Pd-0.05-In-0.85', 'Cu-0.11-Pd-0.06-In-0.83', 'Cu-0.10-Pd-0.06-In-0.84', 'Cu-0.11-Pd-0.04-In-0.85', 'Cu-0.12-Pd-0.06-In-0.82', 'Cu-0.15-Pd-0.05-In-0.80', 'Cu-0.14-Pd-0.06-In-0.80']"
2,1.6287012100607678,"['Cu-0.45-Pd-0.54-In-0.01', 'Cu-0.46-Pd-0.53-In-0.01', 'Cu-0.47-Pd-0.52-In-0.01', 'Cu-0.48-Pd-0.51-In-0.01', 'Cu-0.45-Pd-0.54-Au-0.01', 'Cu-0.46-Pd-0.53-Au-0.01', 'Cu-0.47-Pd-0.52-Au-0.01', 'Cu-0.48-Pd-0.51-Au-0.01', 'Cu-0.40-Pd-0.59-In-0.01', 'Cu-0.41-Pd-0.58-In-0.01', 'Cu-0.42-Pd-0.57-In-0.01', 'Cu-0.43-Pd-0.56-In-0.01', 'Cu-0.44-Pd-0.55-In-0.01', 'Cu-0.40-Pd-0.59-Au-0.01', 'Cu-0.41-Pd-0.58-Au-0.01', 'Cu-0.42-Pd-0.57-Au-0.01', 'Cu-0.43-Pd-0.56-Au-0.01', 'Cu-0.44-Pd-0.55-Au-0.01', 'Cu-0.45-Pd-0.53-In-0.02', 'Cu-0.46-Pd-0.52-In-0.02', 'Cu-0.47-Pd-0.51-In-0.02', 'Cu-0.48-Pd-0.50-In-0.02', 'Cu-0.45-Pd-0.50-In-0.05', 'Cu-0.45-Pd-0.51-In-0.04', 'Cu-0.45-Pd-0.52-In-0.03', 'Cu-0.46-Pd-0.50-In-0.04', 'Cu-0.46-Pd-0.51-In-0.03', 'Cu-0.47-Pd-0.50-In-0.03', 'Cu-0.42-Pd-0.56-In-0.02', 'Cu-0.44-Pd-0.54-In-0.02']"
3,1.6287012100607678,"['Co-0.46-Cu-0.53-Zn-0.01', 'Co-0.45-Cu-0.54-Zn-0.01', 'Co-0.46-Cu-0.52-Zn-0.02', 'Co-0.45-Cu-0.53-Zn-0.02', 'Co-0.48-Cu-0.51-Zn-0.01', 'Co-0.47-Cu-0.52-Zn-0.01', 'Co-0.46-Cu-0.51-Zn-0.03', 'Co-0.44-Cu-0.55-Zn-0.01', 'Co-0.47-Cu-0.51-Zn-0.02', 'Co-0.48-Cu-0.50-Zn-0.02', 'Co-0.45-Cu-0.52-Zn-0.03', 'Co-0.44-Cu-0.54-Zn-0.02', 'Co-0.43-Cu-0.56-Zn-0.01', 'Co-0.43-Cu-0.55-Zn-0.02', 'Co-0.41-Cu-0.58-Zn-0.01', 'Co-0.42-Cu-0.57-Zn-0.01', 'Co-0.41-Cu-0.57-Zn-0.02', 'Co-0.42-Cu-0.56-Zn-0.02', 'Co-0.44-Cu-0.53-Zn-0.03', 'Co-0.49-Cu-0.50-Zn-0.01', 'Co-0.47-Cu-0.50-Zn-0.03', 'Co-0.40-Cu-0.59-Zn-0.01', 'Co-0.40-Cu-0.58-Zn-0.02', 'Co-0.43-Cu-0.54-Zn-0.03', 'Co-0.41-Cu-0.56-Zn-0.03', 'Co-0.39-Cu-0.60-Zn-0.01', 'Co-0.42-Cu-0.55-Zn-0.03', 'Co-0.48-Cu-0.49-Zn-0.03', 'Co-0.39-Cu-0.59-Zn-0.02', 'Co-0.38-Cu-0.61-Zn-0.01']"
4,1.6287012100607678,"['Cu-0.49-Pd-0.51', 'Cu-0.48-Pd-0.52', 'Cu-0.47-Pd-0.53', 'Mn-0.55-Cd-0.43-In-0.02', 'Mn-0.56-Cd-0.42-In-0.02', 'Mn-0.57-Cd-0.41-In-0.02', 'Mn-0.58-Cd-0.40-In-0.02', 'Mn-0.59-Cd-0.39-In-0.02', 'Mn-0.60-Cd-0.38-In-0.02', 'Mn-0.56-Cd-0.43-In-0.01', 'Mn-0.57-Cd-0.42-In-0.01', 'Cu-0.47-Sn-0.53', 'Cu-0.48-Sn-0.52', 'Mn-0.55-Cd-0.44-In-0.01', 'Mn-0.58-Cd-0.41-In-0.01', 'Mn-0.59-Cd-0.40-In-0.01', 'Mn-0.60-Cd-0.39-In-0.01', 'Cu-0.46-Sn-0.54', 'Mn-0.62-Cd-0.36-In-0.02', 'Cu-0.46-Pd-0.54', 'Cu-0.49-Sn-0.51', 'Mn-0.62-Cd-0.37-In-0.01', 'Mn-0.55-Cd-0.42-In-0.03', 'Mn-0.56-Cd-0.41-In-0.03', 'Mn-0.57-Cd-0.40-In-0.03', 'Mn-0.60-Cd-0.37-In-0.03', 'Mn-0.61-Cd-0.37-In-0.02', 'Mn-0.58-Cd-0.39-In-0.03', 'Mn-0.59-Cd-0.38-In-0.03', 'Cu-0.18-Sn-0.82']"
5,1.6287012100607678,"['Cu-0.49-Ag-0.50-Sn-0.01', 'Cu-0.48-Ag-0.50-Sn-0.02', 'Cu-0.47-Ag-0.51-Sn-0.02', 'Cu-0.47-Ag-0.50-Sn-0.03', 'Co-0.47-Pd-0.51-Sn-0.02', 'Co-0.47-Pd-0.52-Sn-0.01', 'Cu-0.47-Ag-0.52-Sn-0.01', 'Cu-0.46-Ag-0.52-Sn-0.02', 'Co-0.48-Pd-0.51-Sn-0.01', 'Co-0.46-Pd-0.53-Sn-0.01', 'Zn-0.47-Pd-0.52-Ag-0.01', 'Cu-0.46-Ag-0.53-Sn-0.01', 'Co-0.46-Pd-0.52-Sn-0.02', 'Cu-0.48-Ag-0.51-Sn-0.01', 'Zn-0.47-Pd-0.52-Sn-0.01', 'Zn-0.46-Pd-0.53-Ag-0.01', 'Zn-0.48-Pd-0.51-Ag-0.01', 'Zn-0.46-Pd-0.53-Sn-0.01', 'Zn-0.48-Pd-0.51-Sn-0.01', 'Zn-0.47-Pd-0.51-Ag-0.02', 'Cu-0.98-Pd-0.01-Pb-0.01', 'Zn-0.47-Pd-0.51-Sn-0.02', 'Co-0.47-Pd-0.52-Ag-0.01', 'Co-0.47-Pd-0.51-Ag-0.02', 'Co-0.48-Pd-0.51-Ag-0.01', 'Co-0.45-Pd-0.54-Sn-0.01', 'Ni-0.47-Pd-0.51-Sn-0.02', 'Zn-0.46-Pd-0.52-Ag-0.02', 'Zn-0.45-Pd-0.54-Ag-0.01', 'Zn-0.46-Pd-0.52-Sn-0.02']"
6,2.8384155354837177,"['Cu-0.98-Pd-0.01-Ag-0.01', 'Cu-0.98-Pd-0.01-Sn-0.01', 'Cu-0.96-Pd-0.01-Ag-0.03', 'Cu-0.97-Pd-0.01-Ag-0.02', 'Cu-0.95-Pd-0.02-Ag-0.03', 'Cu-0.97-Pd-0.02-Ag-0.01', 'Cu-0.94-Pd-0.03-Ag-0.03', 'Cu-0.96-Pd-0.03-Ag-0.01', 'Cu-0.92-Pd-0.05-Ag-0.03', 'Cu-0.93-Pd-0.04-Ag-0.03', 'Cu-0.86-Pd-0.11-Ag-0.03', 'Cu-0.87-Pd-0.10-Ag-0.03', 'Cu-0.88-Pd-0.09-Ag-0.03', 'Cu-0.89-Pd-0.08-Ag-0.03', 'Cu-0.90-Pd-0.07-Ag-0.03', 'Cu-0.91-Pd-0.06-Ag-0.03', 'Cu-0.96-Pd-0.02-Ag-0.02', 'Cu-0.88-Pd-0.11-Ag-0.01', 'Cu-0.89-Pd-0.10-Ag-0.01', 'Cu-0.90-Pd-0.09-Ag-0.01', 'Cu-0.91-Pd-0.08-Ag-0.01', 'Cu-0.92-Pd-0.07-Ag-0.01', 'Cu-0.94-Pd-0.05-Ag-0.01', 'Cu-0.95-Pd-0.04-Ag-0.01', 'Cu-0.95-Pd-0.03-Ag-0.02', 'Cu-0.93-Pd-0.06-Ag-0.01', 'Cu-0.52-Pd-0.45-Ag-0.03', 'Cu-0.53-Pd-0.44-Ag-0.03', 'Cu-0.89-Pd-0.09-Ag-0.02', 'Cu-0.91-Pd-0.07-Ag-0.02']"
7,2.8384155354837177,"['Cu-0.97-Ru-0.01-Au-0.02', 'Pd-0.97-Cd-0.01-In-0.02', 'Pd-0.98-Cd-0.01-In-0.01', 'Cu-0.97-Ru-0.01-In-0.02', 'Pd-0.97-Cd-0.02-In-0.01', 'Cu-0.96-Ru-0.02-Au-0.02', 'Cu-0.98-Ru-0.01-Au-0.01', 'Cu-0.98-Ru-0.01-In-0.01', 'Cu-0.97-Ru-0.02-Au-0.01', 'Cu-0.97-Ru-0.02-In-0.01', 'Cu-0.96-Ru-0.02-In-0.02', 'Pd-0.96-Cd-0.02-In-0.02', 'Cu-0.96-Ru-0.03-Au-0.01', 'Pd-0.98-Cd-0.01-Au-0.01', 'Pd-0.96-Cd-0.03-In-0.01', 'Pd-0.97-Cd-0.01-Au-0.02', 'Pd-0.97-Cd-0.02-Au-0.01', 'Cu-0.96-Ru-0.03-In-0.01', 'Cu-0.97-Ru-0.01-Ag-0.02', 'Pd-0.96-Cd-0.01-In-0.03', 'Pd-0.96-Cd-0.03-Au-0.01', 'Pd-0.96-Cd-0.02-Au-0.02', 'Pd-0.98-Ag-0.01-In-0.01', 'Pd-0.97-Ag-0.01-In-0.02', 'Pd-0.97-Ag-0.02-In-0.01', 'Cu-0.96-Ru-0.02-Ag-0.02', 'Cu-0.98-Ru-0.01-Ag-0.01', 'Pd-0.96-Cd-0.01-Au-0.03', 'Cu-0.97-Ru-0.02-Ag-0.01', 'Pd-0.96-Ag-0.03-In-0.01']"
8,2.8384155354837177,"['Cu-0.97-Pd-0.01-Au-0.02', 'Cu-0.97-Pd-0.02-Au-0.01', 'Cu-0.96-Pd-0.02-Au-0.02', 'Cu-0.96-Pd-0.02-Pb-0.02', 'Cu-0.96-Pd-0.03-Au-0.01', 'Cu-0.99-Pd-0.01', 'Cu-0.98-Pd-0.01-Au-0.01', 'Cu-0.97-Pd-0.01-Pb-0.02', 'Cu-0.95-Pd-0.04-In-0.01', 'Cu-0.98-Pd-0.02', 'Cu-0.95-Pd-0.03-Pb-0.02', 'Cu-0.95-Pd-0.03-Au-0.02', 'Cu-0.95-Pd-0.04-Pb-0.01', 'Cu-0.95-Pd-0.04-Au-0.01', 'Cu-0.97-Pd-0.02-Pb-0.01', 'Cu-0.96-Pd-0.03-Pb-0.01', 'Cu-0.97-Pd-0.02-Cd-0.01', 'Cu-0.99-Ag-0.01', 'Cu-0.95-Pd-0.03-In-0.02', 'Cu-0.97-Pd-0.01-Cd-0.02', 'Cu-0.56-Pd-0.44', 'Cu-0.98-Pd-0.01-In-0.01', 'Cu-0.96-Pd-0.02-In-0.02', 'Cu-0.97-Pd-0.01-In-0.02', 'Cu-0.98-Ag-0.02', 'Cu-0.55-Pd-0.45', 'Cu-0.97-Zn-0.02-Cd-0.01', 'Cu-0.97-Pd-0.01-Sn-0.02', 'Cu-0.53-Pd-0.47', 'Cu-0.54-Pd-0.46']"
9,2.8384155354837177,"['Cu-0.98-Pd-0.01-Cd-0.01', 'Cu-0.98-Zn-0.01-Cd-0.01', 'Cu-0.98-Zn-0.01-In-0.01', 'Cu-0.98-Ag-0.01-Cd-0.01', 'Cu-0.98-Zn-0.01-Ag-0.01', 'Cu-0.98-Zn-0.01-Ru-0.01', 'Cu-0.98-Zn-0.01-Au-0.01', 'Cu-0.98-Ag-0.01-Sn-0.01', 'Cu-0.98-Zn-0.01-Pb-0.01', 'Cu-0.97-Ag-0.03', 'Cu-0.98-Zn-0.01-Sn-0.01', 'Cu-0.97-Pb-0.03', 'Cu-0.98-Zn-0.01-Pd-0.01', 'Cu-0.98-Pb-0.02', 'Cu-0.97-Zn-0.02-In-0.01', 'Cu-0.97-Zn-0.01-Cd-0.02', 'Fe-0.98-In-0.02', 'Ni-0.98-Zn-0.01-Cd-0.01', 'Fe-0.99-In-0.01', 'Fe-0.98-Pb-0.02', 'Ni-0.98-Zn-0.01-In-0.01', 'Cu-0.99-Pb-0.01', 'Cu-0.96-Ag-0.04', 'Cu-0.98-Ag-0.01-Au-0.01', 'Fe-0.99-Pb-0.01', 'Cu-0.96-Ag-0.02-Sn-0.02', 'Cu-0.97-Zn-0.01-In-0.02', 'Cu-0.96-Ag-0.03-Sn-0.01', 'Fe-0.98-Zn-0.01-Cd-0.01', 'Fe-0.98-Cd-0.01-In-0.01']"
